name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Nucleo terminador,terminator_core,,,,,Weapons,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.TerminatorCore,"Otorga a todas las armas de defensa de punto la capacidad de identificar -e ignorar- las bengalas de senuelo. Ademas, todas las armas obtienen el mejor seguimiento de objetivos posible, independientemente de la preparacion de combate; todo el dano a misiles y cazas aumenta un %s, y el alcance de las armas de rayo aumenta un %s de unidades.",,,graphics/hullmods/terminator_core.png
Sumidero de flujo compartido,shared_flux_sink,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.SharedFluxSink,"Gestiona el %s de la disipacion de flujo de todos los modulos acoplados. Si se pierden modulos durante la batalla, la disipacion de flujo adicional se redistribuye entre los modulos restantes. Hasta un %s de esta disipacion adicional se aplica al flujo duro.",Bonificacion de disipacion de flujo y flujo duro a medida que se pierden modulos.,,graphics/hullmods/shared_flux_sink.png
Campo de minas sigiloso,stealth_minefield,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.StealthMinefield,Las minas atacan a las naves enemigas durante la batalla.,Las minas atacan a las naves enemigas durante la batalla.,,graphics/hullmods/stealth_mines.png
Campo de minas sigiloso - tecnologia baja,stealth_minefield_lt,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.StealthMinefieldLT,Las minas atacan a las naves enemigas durante la batalla.,Las minas atacan a las naves enemigas durante la batalla.,,graphics/hullmods/stealth_mines.png
B-Deck,bdeck,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.BDeck,"Una vez por combate, cuando la tasa de reemplazo de cazas alcanza el %s, los hangares de lanzamiento de cazas cambian para operar desde una ""Cubierta B"".

Se lanzan cazas en reserva para restablecer rapidamente la fuerza de los escuadrones, y la tasa de reemplazo de cazas se fija en un %s.",Lanza un nuevo escuadron una vez por combate y repone la tasa de reemplazo.,,graphics/hullmods/bdeck.png
Almacen de chasis de cazas,chassis_storage,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.FighterChassisStorage,La tasa de reposicion de cazas no disminuye al perder unidades.,La tasa de reemplazo de cazas no disminuye.,,graphics/hullmods/expanded_deck_crew.png
Escudo siempre activo,shield_always_on,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ShieldAlwaysOn,,Fuerza al escudo a permanecer activo.,,graphics/hullmods/hardened_shields.png
Nanoforja de misiles,missile_reload,,,,codex_require_related,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.PeriodicMissileReload,Una nanoforja interna en la nave recarga periodicamente por completo los cargadores de todas las armas de misiles.,Recarga periodicamente todas las armas de misiles.,,graphics/hullmods/expanded_missile_racks.png
Bodegas de carga blindadas,shielded_holds,2,,,,,,,TRUE,,0,0,0,0,data.hullmods.ShieldedCargoHolds,"Comun en naves que no siempre pueden confiar en los escudos para proteger su carga de la radiacion cosmica. Solo se necesitan unos pocos ajustes para que el blindaje confunda los escaneos de carga de largo alcance, reduciendo la probabilidad de detectar contrabando.",Mejora la probabilidad de evitar la deteccion de contrabando.,,graphics/hullmods/shielded_cargo_hold.png
Portico de rescate,repair_gantry,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.campaign.RepairGantry,"Aumenta los recursos obtenidos al rescatar estaciones abandonadas, pecios, cascos a la deriva y similares en un %s/%s/%s/%s, segun el tamano del casco. Solo afecta a la recuperacion de recursos comunes como combustible y suministros, y no a objetos raros como planos. Ademas, el %s de la bonificacion se aplica al rescate posterior al combate.",Aumenta los recursos obtenidos del rescate.,,graphics/hullmods/repair_gantry.png
Campo de fase,phasefield,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.PhaseField,"La nave es capaz de mantener un campo de fase de baja intensidad durante periodos prolongados, reduciendo su perfil de sensores efectivo un %s.",Reduce el perfil de sensores de la flota.,,graphics/hullmods/phase_field.png
Derivacion de flujo,fluxshunt,,,,,,,,TRUE,,0,0,0,0,data.hullmods.FluxShunt,Permite que la nave disipe el flujo duro al %s de la velocidad normal mientras los escudos esten activos.,Permite la disipacion de flujo duro mientras los escudos estan activos.,,graphics/hullmods/flux_shunt.png
Casco de grado civil,civgrade,,,,,,,,TRUE,,0,0,0,0,data.hullmods.CivGrade,Aumenta el perfil de sensores un %s. Reduce la potencia de sensores un %s.,Aumenta el perfil de sensores; reduce la potencia de sensores.,,graphics/hullmods/civilian_grade.png
Alto mantenimiento,high_maintenance,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HighMaintenance,Aumenta el coste de mantenimiento mensual de suministros un %s.,Aumenta el coste de mantenimiento.,,graphics/hullmods/high_maintenance.png
Coherente de proyectiles de energia,coherer,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.EnergyBoltCoherer,<tooltip creado en el script>,Aumenta el alcance base de las armas de energia que no sean de haz.,,graphics/hullmods/coherer.png
Compromisos de diseno,design_compromises,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DesignCompromises,"El rendimiento de la nave se ve afectado por prioridades de diseno contrapuestas, con multiples proyectos de vanguardia integrados demasiado tarde en el ciclo de diseno.

La disipacion y la capacidad de flujo de la nave, incluso los valores base nominales, se reducen un %s.

El alcance de las armas balisticas se reduce un %s, la cadencia de tiro de las armas de misiles se reduce un %s y la generacion de flujo de las armas de energia aumenta un %s.

En el lado positivo, se puede activar la capacidad extra de la nanoforja con mayor facilidad, lo que permite la instalacion de un %s a pesar de que la nave ya tenga un hangar, aumentando el numero de hangares operativos a %s.","Reduce el alcance de las armas balisticas y de misiles, asi como la disipacion y capacidad de flujo.",,graphics/hullmods/design_compromises.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cable de remolque monofilamento,tow_cable,,,,hide_in_codex,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.campaign.TowCable,"Mejora el nivel de propulsion maximo de la nave mas lenta de la flota en 1. No se pueden usar varios remolcadores para acelerar la misma nave mas de 1.

No se puede usar en combate.",Aumenta el nivel de propulsion de otra nave.,,graphics/hullmods/monofilament_cable.png
Estabilizador de campo de propulsion,drive_field_stabilizer,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DriveFieldStabilizer,"Estabiliza la burbuja de propulsion de la flota, aumentando el nivel de propulsion maximo de la flota un %s. El efecto de multiples estabilizadores es acumulativo.

Aumenta el perfil de sensores de la nave un %s.",Reduce el uso de combustible de la flota.,,graphics/hullmods/augmented_drive_field.png
Paquete de apoyo terrestre,ground_support,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.GroundSupport,"Armas de apoyo cercano y contramedidas para defensas terrestres. Aumenta la eficacia de las incursiones planetarias un %s, hasta el numero total de infantes de marina en la flota.",Mejora la eficacia de las incursiones.,,graphics/hullmods/ground_support.png
Apoyo terrestre avanzado,advanced_ground_support,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.AdvancedGroundSupport,"Armas de apoyo cercano y contramedidas para defensas terrestres. Aumenta la eficacia de las incursiones planetarias un %s, hasta el numero total de infantes de marina en la flota.",Mejora la eficacia de las incursiones.,,graphics/hullmods/ground_support_adv.png
Maquinaria delicada,delicate,,,,,,,,TRUE,,0,0,0,0,data.hullmods.DelicateMachinery,"Los sistemas de la nave requieren un mantenimiento excesivo y no resisten bien el rigor de combates prolongados.

Aumenta la tasa de degradacion de la PC en combate un %s tras agotarse el tiempo de rendimiento maximo.",Aumenta la tasa de degradacion de la PC tras agotarse el tiempo de rendimiento maximo.,,graphics/hullmods/delicate_machinery.png
Integracion de balistica pesada,hbi,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.HeavyBallisticsIntegration,Reduce el coste en puntos de armamento de las armas balisticas grandes un %s.,Reduce el coste en puntos de armamento de las armas balisticas grandes.,,graphics/hullmods/ballistics_integration.png
Hangar amplio,vast_hangar,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.VastHangar,"La nave posee un hangar enorme y una pequena flota de naves de apoyo a su altura.

El numero de hangares de caza anadidos por el Hangar Convertido aumenta en un %s, y su rendimiento iguala al de un hangar de caza dedicado; se anulan todas las penalizaciones y modificadores, incluidos los del coste de despliegue de la nave.",Aumenta el efecto del hangar convertido y elimina sus penalizaciones.,,graphics/hullmods/vast_hangar.png
Construccion robusta,rugged,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.RuggedConstruction,"Reduce la mayoria de los efectos negativos de los mod de dano un %s. Si se desactiva o destruye en combate, la nave tiene un %s de probabilidad de evitar nuevos mod de dano, y casi siempre es recuperable tras la batalla.

Ademas, el coste de suministros para recuperarse de la implementacion -y para efectuar reparaciones si la nave queda inhabilitada- se reduce un %s.",Reduce el impacto de los mod de dano; la nave es casi siempre recuperable si se pierde.,,graphics/hullmods/rugged_construction.png
Nave automatizada,automated,,,,codex_require_related,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.Automated,Esta nave esta totalmente automatizada y no requiere -ni puede aceptar- tripulacion humana.,No requiere tripulacion y no puede albergarla.,,graphics/hullmods/automated.png
Nucleo de fijacion avanzado,advancedcore,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AdvancedTargetingCore,"Amplia el alcance de las armas balisticas y de energia un %s. El alcance de las armas de defensa de punto solo se amplia un %s.

Impide la instalacion de un nucleo de fijacion de objetivos dedicado o de una unidad de fijacion de objetivos integrada.",Amplia enormemente el alcance de las armas que no sean de misiles.,,graphics/hullmods/advanced_targeting_core.png
Superordenador de fijacion,supercomputer,,,,,,,,TRUE,,0,0,0,0,data.hullmods.TargetingSupercomputer,"Amplia el alcance de las armas balisticas y de energia un %s. El alcance de las armas de defensa de punto solo se amplia un %s.

Tambien aumenta la precision de la prediccion de objetivos y la potencia de sensores en combate.",Amplia enormemente el alcance de las armas que no sean de misiles.,,graphics/hullmods/targeting_supercomputer.png
Bobinas de fase experimentales,ex_phase_coils,,,,codex_require_related,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ExperimentalPhaseCoils,Reduce el tiempo de recarga del sigilo de fase en %s.,Reduce enormemente el tiempo de recarga del sigilo de fase.,,graphics/hullmods/phase_coils_experimental.png
Atractor de alta volicion,high_frequency_attractor,,,,codex_require_related,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.combat.BaseHullMod,Una modificacion experimental que permite que el nucleo de fisura de la nave atraiga motas de alta frecuencia.,Lanza motas de alta frecuencia mas potentes.,,graphics/hullmods/high_volition_attractor.png
Blindaje ablativo,ablative_armor,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.AblativeArmor,"Un diseno antiguo destinado a detener micrometeoritos mediante el puro volumen de material, antes de la llegada de la armadura ""espacial"".

Reduce la resistencia efectiva del blindaje para el calculo de reduccion de dano al %s de su valor real. Sin embargo, las naves de este diseno tienden a portar un blindaje extremadamente pesado.",Reduce la reduccion de dano por blindaje.,,graphics/hullmods/ablative_armor.png
Control de fuego distribuido,distributed_fire_control,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DistributedFireControl,"Gran parte del dano que deja las armas fuera de servicio se produce en los conductos de energia y en los controles externos. Las armas de esta nave estan disenadas para operar de forma mas independiente, reduciendo su exposicion al dano un %s y reduciendo el dano por EMP recibido por la nave en su conjunto un %s.",Aumenta la durabilidad de las armas y reduce el dano por pulso electromagnetico recibido.,,graphics/hullmods/distributed_fire_control2.png
Bahia de carga convertida,converted_bay,1,,,,,,,TRUE,,0,0,0,0,data.hullmods.ConvertedCargoBay,La bodega de carga de esta nave ha sido convertida para albergar un par de hangares de caza. La fabrica improvisada que produce los chasis de caza no es fiable y la mayoria de los componentes presentan defectos menores. Velocidad de los cazas reducida un %s y dano recibido aumentado un %s.,Par de hangares de cazas improvisados.,,graphics/hullmods/converted_hangar.png
Modificaciones especiales,andrada_mods,,,,"dmod, codex_require_related",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.AndradaMods,"Durante una inspeccion de un prototipo temprano, se oyo al Ejecutor Supremo comentar desfavorablemente sobre los conductos expuestos que recorren los pasillos y el peligro que estos deben suponer para la valiente y leal tripulacion en condiciones de combate.

El nuevo jefe de diseno, un oficial leal nombrado por el propio Ejecutor Supremo, instruyo a los programadores de la nanoforja para que hicieran los ajustes necesarios para la instalacion de paneles aislantes especiales a prueba de explosiones, producidos por la propia Sindria.

Aunque los pasillos sean un poco mas estrechos, los conductos sean propensos al sobrecalentamiento y los paneles integrados sean algo dificiles de manipular, los informes oficiales de preparacion no incluyen criticas sobre los cambios. Todo el mundo coincide, tanto en publico como -segun puede dar fe el Ministerio de Seguridad Interna- en privado, en que la austera grandeza de la flota de la Guardia del Leon es impresionante.

Las bajas de la tripulacion en combate aumentan un %s. La tasa base de disipacion de flujo se reduce un %s, y la tasa de reparacion de armas y motores averiados se reduce un %s.",Reduce el rendimiento de la nave.,,graphics/hullmods/special_modifications.png
Gran volumen,vastbulk,,,,,,,,TRUE,,0,0,0,0,data.hullmods.VastBulk,"El cuerpo principal de esta estructura es vasto y es, para fines practicos, capaz de absorber cualquier cantidad de dano de armas convencionales sin ser destruido.",,,graphics/hullmods/vast_bulk.png
Rotacion axial,axialrotation,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AxialRotation,Esta estructura rota constantemente sobre su propio eje.,,,graphics/hullmods/axial_rotation.png
Rotacion de anclaje,anchorrotation,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.AnchorRotation,Esta estructura rota alrededor de su punto de anclaje. Solo para modulos de estacion.,,,graphics/hullmods/axial_rotation.png
Explosion reducida,reduced_explosion,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ReducedExplosion,Radio de explosion y dano reducidos.,,,graphics/hullmods/reduced_explosion.png
Siempre se desprende,always_detaches,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.AlwaysDetaches,Siempre se desprende de la estructura principal al ser destruida.,,,graphics/hullmods/detach_always.png
Nunca se desprende,never_detaches,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.NeverDetaches,Nunca se desprende de la estructura principal al ser destruida.,,,graphics/hullmods/detach_never.png
Sin flujo de armas,no_weapon_flux,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.NoWeaponFlux,El disparo de armas no consume flujo. Se utiliza en cazas para un control preciso de los puntos de vida efectivos del escudo.,,,
No disparar a traves,do_not_fire_through,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.DoNotFireThrough,"Las armas de otros modulos de una estacion evitaran disparar a traves de este modulo, aunque los disparos pasarian por encima sin impactar.",,,
Generador de esquirlas,shard_spawner,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ShardSpawner,Genera naves de tipo fragmento cuando la nave es inhabilitada o destruida.,,,
No retroceder,do_not_back_off,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DoNotBackOff,Establece la bandera de IA de NO RETROCEDER.,,,
,,,,,,,,,,,,,,,,,,,
# elementos de la amenaza,,,,,,,,,,,,,,,,,,,
Casco de amenaza,threat_hullmod,,,,"codex_require_related, threat",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.combat.threat.ThreatHullmod,Mod de casco oculto para gestionar las propiedades especiales de las naves de la Amenaza. Descripcion generada por script.,,,graphics/hullmods/the_threat.png
Enjambre de fragmentos,fragment_swarm,,,,"codex_unlockable, fragment, no_drop_salvage","Weapons, Special",30000,,,,6,12,18,30,com.fs.starfarer.api.impl.combat.threat.FragmentSwarmHullmod,"Un enjambre de fragmentos de la Amenaza rodea la nave, proporcionando un suministro regenerativo de fragmentos para las armas basadas en fragmentos.

El numero base de fragmentos es %s/%s/%s/%s, y los fragmentos de reemplazo se lanzan %s/%s/%s/%s veces por segundo, segun el tamano del casco.

Este mod de casco es necesario para que las armas de fragmentos funcionen; si el mod de casco no esta presente o no hay suficientes fragmentos en el enjambre, las armas de fragmentos quedaran inutilizadas.",Un enjambre de fragmentos de la Amenaza rodea la nave.,Reduce la preparacion de combate maxima en un %s y aumenta el coste de mantenimiento en un %s.,graphics/hullmods/fragment_swarm.png
Fabricador secundario,secondary_fabricator,,,,"codex_unlockable, fragment, no_drop_salvage","Weapons, Special",20000,,,,3,6,9,15,com.fs.starfarer.api.impl.combat.threat.SecondaryFabricatorHullmod,Aumenta la velocidad con la que se lanzan los fragmentos de reemplazo un %s.,Aumenta la tasa de reemplazo de fragmentos.,Aumenta la tasa de reposicion de fragmentos un %s adicional.,graphics/hullmods/secondary_fabricator.png
Coordinador de fragmentos,fragment_coordinator,,,,"codex_unlockable, fragment, no_drop_salvage","Weapons, Special",15000,,,,3,6,9,15,com.fs.starfarer.api.impl.combat.threat.FragmentCoordinatorHullmod,Aumenta el numero maximo de fragmentos en el enjambre de fragmentos de la nave un %s.,Aumenta el tamano del enjambre de fragmentos alrededor de la nave.,Aumenta el tamano del enjambre de fragmentos un %s adicional.,graphics/hullmods/fragment_coordinator.png
,,,,,,,,,,,,,,,,,,,
# cosas de habitante de la niebla,,,,,,,,,,,,,,,,,,,
Mod de casco de Dweller,dweller_hullmod,,,,dweller,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.combat.dweller.DwellerHullmod,Anade elementos visuales de los Habitantes Sombrios y cualquier mecanica personalizada. No es visible para el jugador.,,,
Manto encubierto,shrouded_mantle,,,,"codex_unlockable, shrouded, no_drop_salvage",Special,,,,,3,6,9,15,com.fs.starfarer.api.impl.combat.dweller.ShroudedMantleHullmod,"La nave intentara retroceder (con suerte) para alejarse del peligro al sufrir danos sustanciales en el casco.

Las bajas de tripulacion en combate aumentan un %s.",La nave retrocede ante el dano.,La nave se beneficia de un %s de la curacion proporcionada por Hungering Rift.,graphics/hullmods/shrouded_mantle.png
Nube de tormenta velada,shrouded_thunderhead,,,,"codex_unlockable, shrouded, no_drop_salvage","Weapons, Special",,,,,5,10,15,25,com.fs.starfarer.api.impl.combat.dweller.ShroudedThunderheadHullmod,<creado por script>,La nave dispara rayos de rayo de la Grieta a los objetivos recientes de sus armas.,,graphics/hullmods/shrouded_thunderhead.png
Lente velada,shrouded_lens,,,,"codex_unlockable, shrouded, no_drop_salvage",Special,,,,,3,6,9,15,com.fs.starfarer.api.impl.combat.dweller.ShroudedLensHullmod,<creado por script>,"La lente se enfoca automaticamente en objetivos cercanos, infligiendo dano en un area.",,graphics/hullmods/shrouded_lens.png
,,,,,,,,,,,,,,,,,,,
# mejoras de la apariencia de la nave,,,,,,,,,,,,,,,,,,,
Decimocuarto grupo de combate,fourteenth,,,,,,,,TRUE,,0,0,0,0,data.hullmods.Fourteenth,"Esta nave es una superviviente del grupo de batalla original 14.o del Dominio que fundo la Hegemonia. Es un especimen ejemplar de la doctrina de ""batalla decisiva"" de la Armada del Dominio, manifestada especialmente en una serie de modificaciones estructurales radicales (realizadas con metodos industriales previos al Colapso) que permiten el montaje de blindaje mas pesado con un aumento fijo de %s unidades estandar, con solo una reduccion del %s en velocidad y maniobrabilidad. Los sistemas de energia, excepcionalmente bien ajustados, aumentan el flujo y la capacidad en un %s respecto a los ejemplos estandar de este casco.",,,graphics/hullmods/fourteenth.png
Auxiliar de la Hegemonia militarizada,heg_militarized,,,,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.Militarized,"Esta nave esta -o estuvo- en la lista auxiliar de la Hegemonia. Los kits de refuerzo de blindaje aplicados en los astilleros navales de la Hegemonia resultaron en ninguna perdida de rendimiento para un aumento de la resistencia del blindaje de un %s/%s/%s/%s, dependiendo del tamano del casco. Los sistemas de energia del nucleo se han actualizado a estandares militares, lo que ha resultado en una mejora del %s en el manejo general, un aumento del %s en la capacidad de flujo, un aumento del %s en la disipacion de flujo y un aumento del nivel de propulsion maximo en un %s.",,,graphics/hullmods/militarized_hegemony_auxiliary.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
# penalizaciones permanentes de nave,,,,,,,,,,,,,,,,,,,
Blindaje comprometido,comp_armor,,,,"dmod, damage, damageStruct",,,,TRUE,,0,0,0,0,data.hullmods.CompromisedArmor,"El blindaje de esta nave ha sufrido danos graves e irreparables en algun momento del pasado, o ha padecido errores graves en el proceso de fabricacion. Indice de blindaje reducido un %s.

Coste de suministros para recuperarse de la implementacion reducido un %s.",,,graphics/hullmods/compromised_armor.png
Casco comprometido,comp_hull,,,,"dmod, damage, damageStruct",,,,TRUE,,0,0,0,0,data.hullmods.CompromisedHull,"El casco de esta nave ha sufrido danos graves e irreparables en algun momento del pasado, o ha padecido errores graves en el proceso de fabricacion. Integridad del casco reducida un %s.

Coste de suministros para recuperarse de la implementacion reducido un %s.",,,graphics/hullmods/compromised_hull.png
Motores degradados,degraded_engines,,,,"dmod, damage",,,,TRUE,,0,0,0,0,data.hullmods.DegradedEngines,"Ya sea por danos de combate, defectos de fabricacion o ciclos de un mantenimiento deficiente, los motores de esta nave sufren un rendimiento de combate permanentemente degradado.

Velocidad maxima y maniobrabilidad en combate reducidas un %s.

Coste de suministrados para recuperarse de la implementacion reducido un %s.",,,graphics/hullmods/degraded_engines.png
Campo de propulsion degradado,degraded_drive_field,,,,"dmod, damage, civOnly",,,,TRUE,,0,0,0,0,data.hullmods.DegradedDriveField,"Ya sea por danos de combate, defectos de fabricacion o ciclos de un mantenimiento deficiente, el campo de propulsion de esta nave sufre un rendimiento permanentemente degradado.

Nivel de propulsion maximo reducido un % de %s. Perfil de sensores aumentado un %s.

Coste de suministros para recuperarse de la implementacion reducido un %s.",,,graphics/hullmods/degraded_drivefield.png
Red electrica defectuosa,faulty_grid,,,,"dmod, damage",,,,TRUE,,0,0,0,0,data.hullmods.FaultyPowerGrid,"Ya sea por danos de combate, defectos de fabricacion o ciclos de un mantenimiento deficiente, la red de energia de esta nave nunca sera capaz de alcanzar su rendimiento maximo.

Capacidad de flujo reducida un %s. Tasa de disipacion de flujo reducida un %s. Perfil de sensores aumentado un %s.

Coste de suministros para recuperarse de la implementacion reducido un %s.",,,graphics/hullmods/faulty_power_grid.png
Inestabilidad de la bobina de fase,unstable_coils,,,,"dmod, phaseDamage",,,,TRUE,,0,0,0,0,data.hullmods.PhaseCoilInstability,"Las bobinas de fase de esta nave son imposibles de calibrar correctamente debido a sutiles defectos. Reduce el bono de tiempo de fase un %s, reduce el tiempo de rendimiento maximo un %s y aumenta la tasa de degradacion de la preparacion de combate un %s.

Coste de suministros para recuperarse de la implementacion reducido un %s.",,,graphics/hullmods/phase_coil_instability.png
Danos estructurales,comp_structure,,,,"dmod, damageStruct, destroyedDamageAlways",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.CompromisedStructure,"Es probable que el casco de esta nave haya sufrido danos extremos en el pasado, posiblemente hasta el punto de romperse. El indice de blindaje se reduce un %s y la integridad del casco un %s.

El coste de suministros para recuperarse del despliegue se reduce un %s.",,,graphics/hullmods/structural_damage.png
Matriz de sensores con fallos,glitched_sensors,,,,"dmod, damage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.GlitchedSensorArray,"La matriz de sensores de la nave esta tan danada que no admite reparacion sin una revision completa del casco. El alcance de las armas en combate se reduce un %s. La potencia de sensores se reduce un %s.

El coste de suministros para recuperarse del despliegue se reduce un %s.",,,graphics/hullmods/glitched_sensor_array.png
Hipercomunicaciones con fallos,malfunctioning_comms,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.MalfunctioningComms,"El sistema de comunicaciones ha sufrido danos graves, lo que hace que atravesar la interferencia del campo de batalla sea aun mas dificil. El alcance de combate de los cazas se reduce un %s.

El coste de suministros para recuperarse del despliegue se reduce un %s.",,,graphics/hullmods/malfunctioning_comms.png
Manufactura defectuosa,defective_manufactory,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DefectiveManufactory,"La fabrica que produce chasis de cazas no es fiable y la mayoria de los componentes presentan defectos menores. La velocidad de los cazas se reduce un %s y el dano recibido aumenta un %s.

El coste de suministros para recuperarse del despliegue se reduce un %s.",,,graphics/hullmods/defective_manufactory.png
Cubierta de vuelo danada,damaged_deck,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DamagedFlightDeck,"Las cubiertas de vuelo de esta nave han sufrido danos graves que interfieren seriamente con su funcionamiento normal. El tiempo necesario para lanzar cazas de reemplazo aumenta un %s.

El coste de suministros para recuperarse del despliegue se reduce en un %s.",,,graphics/hullmods/damaged_flight_deck.png
Subsistemas poco fiables,fragile_subsystems,,,,"dmod, damage, peak_time, notPhase",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.FragileSubsystems,"Una perdida generalizada de componentes redundantes reduce el tiempo de rendimiento maximo un %s e incrementa la tasa de degradacion de la preparacion de combate un %s.

El coste de suministros para recuperarse del despliegue se reduce un %s.",,,graphics/hullmods/fragile_subsystems.png
Almacen comprometido,comp_storage,,,,"dmod, damage, civOnly",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.CompromisedStorage,"La capacidad de almacenamiento de esta nave esta significativamente degradada. La capacidad de tripulacion, carga y combustible se reduce un %s.

El coste de suministros para recuperarse del despliegiente se reduce un %s.",,,graphics/hullmods/compromised_storage.png
Mantenimiento incrementado,increased_maintenance,,,,"dmod, damage, civ, notAuto",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.IncreasedMaintenance,"Aumenta el coste mensual de suministros en %s. Aumenta la tripulacion minima necesaria en %s. Reduce la preparacion de combate maxima en %s.

El coste de suministros para recuperarse tras el despliegue se reduce en %s.","Aumenta el coste de mantenimiento y los requisitos de tripulacion, y reduce la preparacion de combate maxima.",,graphics/hullmods/increased_maintenance.png
Inyector de combustible erratico,erratic_injector,,,,"dmod, damage, civ",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ErraticInjector,"Aumenta el uso de combustible un %s y disminuye el impulso sin flujo un %s por segundo.

El coste de suministros para recuperarse del despliegue se reduce un %s.",Aumenta el uso de combustible y reduce el impulso sin flujo.,,graphics/hullmods/erratic_injector.png
Sistemas automatizados defectuosos,faulty_auto,,,,"dmod, damage, notAuto",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.FaultyAutomatedSystems,"Aumenta la tripulacion minima necesaria un %s y disminuye la preparacion de combate maxima un %s.

El coste de suministros para recuperarse del despliegue se reduce un %s.",Aumenta la tripulacion minima necesaria; reduce la preparacion de combate maxima.,,graphics/hullmods/faulty_automated_systems.png
Monturas de armas danadas,damaged_mounts,,,,"dmod, damage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DamagedWeaponMounts,"Reduce la velocidad de giro de las armas un %s y aumenta el retroceso un %s.

El coste de suministros para recuperarse tras el despliegue se reduce un %s.",Reduce la velocidad de giro de las armas y aumenta el retroceso.,,graphics/hullmods/damaged_weapon_mounts.png
