name,id,tags,planetary,decivRemove,script,desc,icon,order
,,,,,,,,
Volatiles residuales,volatiles_trace,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Los volatiles residuales que se encuentran aqui apenas justifican su recoleccion.,graphics/icons/markets/volatiles_trace.png,40
Volatiles difusos,volatiles_diffuse,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Aqui se encuentran volatiles difusos, que pueden bastar para la extraccion industrial.",graphics/icons/markets/volatiles_diffuse.png,40
Volatiles abundantes,volatiles_abundant,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,De $market pueden extraerse volatiles abundantes de forma economica.,graphics/icons/markets/volatiles_abundant.png,40
Volatiles abundantes,volatiles_plentiful,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$Market es un manantial de volatiles del tamano de un mundo: rico, profundo y potente.",graphics/icons/markets/volatiles_plentiful.png,40
,,,,,,,,
,,,,,,,,
Compuestos organicos residuales,organics_trace,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$Market carece casi por completo de reservas de compuestos organicos, aunque es posible cierta extraccion.",graphics/icons/markets/organics_trace.png,38
Compuestos organicos comunes,organics_common,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,En $market se encuentran reservas de compuestos organicos explotables economicamente.,graphics/icons/markets/organics_common.png,38
Compuestos organicos abundantes,organics_abundant,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Un rio de riqueza fluye bajo la superficie de $market, para quien sepa encontrarlo y explotarlo.",graphics/icons/markets/organics_abundant.png,38
Compuestos organicos abundantes,organics_plentiful,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Yacimientos de compuestos organicos valiosos brotan a traves de la superficie de $market en chorros, sobre pozas profundas y oscuras que prometen oceanos de riqueza justo debajo.",graphics/icons/markets/organics_plentiful.png,38
,,,,,,,,
,,,,,,,,
Tierras de cultivo pobres,farmland_poor,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,La vida vegetal terrestre solo crece aqui de forma raquitica y trabajosa. Haria falta agricultores con un talento a la altura de su desesperacion para que estas tierras dieran fruto.,graphics/icons/markets/farmland_poor.png,70
Tierras de cultivo adecuadas,farmland_adequate,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Una biosfera robusta y compatible con la vida terrestre permite el cultivo agricola en $market.,graphics/icons/markets/farmland_adequate.png,70
Tierras de cultivo ricas,farmland_rich,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Los campos de $market prometen una cosecha rica que recompensara a los agricultores que trabajan estas tierras fertiles.,graphics/icons/markets/farmland_rich.png,70
Tierras de cultivo fertiles,farmland_bountiful,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$Market es un autentico Eden: florido, exuberante, frondoso y luminoso de vida vegetal. Las ramas cuelgan bajas, cargadas de fruta; campos de grano dorado resplandecen con la brisa herbacea.",graphics/icons/markets/farmland_bountiful.png,70
,,,,,,,,
Red solar orbital,solar_array,"show_in_planet_list, planet_search",TRUE,,com.fs.starfarer.api.impl.campaign.econ.SolarArray,"Este planeta cuenta con una red de parasoles o espejos en orbita, colocados con criterio para acercar las condiciones de su superficie a los parametros terrestres.",graphics/icons/markets/solar_shade.png,101
