name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Lanza de fase,phasebeam,1,,1500,600,1000,,,0,20,10,,,,ENERGY,,800,0.25,0.5,1,4,,,,,3200,,,,,,,,"energy14, beam10, rare_bp, merc, ind",,,,General,,,,,,,,,,20
Haz gravitatorio,gravitonbeam,2,,1500,1000,100,,,10,15,9,,,,KINETIC,,75,0.1,0.1,,,,,,,2400,,,,,,,,"beam12, kinetic11, LR, hightech_bp, midline_bp, merc, ind",,,,Supresion,,,,,"Interrumpe los escudos del objetivo, aumentando todo el dano por escudo recibido en un %s para un rayo gravitatorio de plena potencia, un %s para dos, y un %s para tres o mas que impacten en los escudos al mismo tiempo.",5% | 8% | 10%,Los efectos gravitatorios ralentizan y desvian el objetivo de su curso. El efecto es leve y es mas notable contra cazas y misiles.,,,21
Lanza IR automatico,irautolance,1,,1200,1000,500,,,0,50,8,40,2,10,FRAGMENTATION,,150,0,0,0.1,0,,,,,1000000,,,,,,,USE_LESS_VS_SHIELDS,"beam12, energy10, rare_bp, merc",,,,General,,,,,,,,,,21.5
Laser de pulso,pulselaser,1,,1200,600,,100,,0,20,10,,,,ENERGY,80,,0.333333,0,,,,,,,,1000,,,,,,,"energy13, base_bp, merc, ind",,,,General,,,,,,,,,,22
Blaster de mineria,miningblaster,0,,1000,500,,200,,0,7,10,4,0.5,,HIGH_EXPLOSIVE,300,,0,0.2,,,,,,,,1000,,,,,,USE_LESS_VS_SHIELDS,"energy12, base_bp, ind",,,,Antiblindaje,,,,,Cada proyectil inflige un %s de dano adicional al blindaje. Este dano no se reduce por el blindaje.,100,,,,22.125
Blaster pesado,heavyblaster,2,,2500,600,,500,,0,15,12,,,,ENERGY,720,,0,1,,,,,,,,1000,,,,,,,"energy14, rare_bp, hist1t, merc, ind",,,,General,,,,,,,,,,22.25
Blaster cinetico,kineticblaster,3,,5000,600,,250,,0,15,12,,,,KINETIC,375,,0,1,,,,,,,,1400,,,,,,,"kinetic11, no_sell, no_dealer, no_drop_salvage, codex_unlockable",,Guardia del Leon,,Anti escudos,,,,,,,,,,22.35
Laser de rafaga pesada,heavyburst,2,,2000,600,450,,,0,75,9,6,0.75,,ENERGY,,300,0.1,0.1,0.35,0.1,,,,,10000,,,,,,,"PD,ANTI_FTR","pd15, beam10, rare_bp, merc, ind",,,,Defensa de punto,,,,,,,,,,22.5
Pulsor de iones,ionpulser,2,0.6,2250,500,,90,600,0,20,11,20,2,3,ENERGY,100,,0.05,0.05,3,0.1,3,20,1,4,,1000,,,,,,,"energy13, rare_bp, merc, ind",,,,Supresion,,,,,"Los impactos en el casco o el blindaje tienen un %s de probabilidad de derivar hacia armas y motores, infligiendo un dano adicional igual al impacto original.",25%,,,,22.75
Haz de iones,ionbeam,3,0.5,2500,1000,50,,400,0,15,12,,,,ENERGY,,150,0.1,0.1,,,,,,,2400,,,,,,,FIRE_WHEN_INEFFICIENT,"beam14, LR, rare_bp, hist1t, merc, ind",,,,Supresion,,,,,"Los impactos en el casco o el blindaje derivan periodicamente hacia armas y motores, infligiendo dano extra de PEM y de energia. Los impactos en escudos tienen la posibilidad de generar un arco que atraviese el escudo segun el nivel de flujo duro del objetivo.",,,,,22.85
Canon de plasma,plasma,3,,7500,700,,500,,,20,30,,,,ENERGY,550,,0.33,1.01,3,0.33,,,,,,750,,,500,,,"STRIKE, USE_VS_FRIGATES","energy20, rare_bp, hist1t, merc, ind",,,,General,,,,,El sistema de fijacion es incapaz de rastrear cazas cuando esta en control local o automatico.,,,,,23
Laser de alta intensidad,hil,1,,4500,1000,500,,,0,5,20,,,,HIGH_EXPLOSIVE,,400,0.1,0.1,,,,,,,2400,,,,,,,,"beam20, LR, hightech_bp, merc, ind",,,,Antiblindaje,,,,,,,,,,24
Laser Autopulse,autopulse,1,,4500,700,,150,,0,20,20,30,2,,ENERGY,125,,0.05,0.05,1,,0,10,1,5,,1000,,,,,,,"energy18, hightech_bp, merc, ind",,,,General,,,,,,,,,,25
Sistema de DP Paladin,guardian,2,0.5,5000,750,1000,,,0,75,18,20,1,,ENERGY,,300,0,0,0.2,0.1,,,,,1000000,,,,,,,"PD, ANTI_FTR","pd19, beam15, rare_bp, merc, ind",,,,Defensa de punto,,,,,"Cuando todos los subrayos impactan un objetivo en proximidad cercana entre si, el efecto de fragmentacion produce una explosion que inflige hasta 100 puntos de dano por fragmentacion a otros objetivos cercanos.",100 | fragmentacion,,,,26
Lanza taquiones,tachyonlance,3,0.5,8000,1000,1500,,1000,0,7,25,,,,ENERGY,,2000,0.5,1,1,4,,,,,10000,,,,,,,FIRE_WHEN_INEFFICIENT,"energy20, beam15, LR, rare_bp, hist1t, merc, ind",,,,Supresion,,,,,"Los impactos en el casco o el blindaje derivan frecuentemente hacia armas y motores, infligiendo dano extra de PEM y de energia. Los impactos en escudos tienen la posibilidad de generar un arco que atraviese el escudo segun el nivel de flujo duro del objetivo.",,,,,27
Gigacanon,gigacannon,3,,10000,700,,2500,,0,5,25,,,,ENERGY,1500,,1,9,,,0,0,0,0,,1000,,,,,,"STRIKE, USE_VS_FRIGATES, GROUP_ALTERNATING","strike18, no_sell, no_dealer, no_drop_salvage, codex_unlockable",,Guardia del Leon,,Bombardeo,,,,,,,,,,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Armas Omega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minipulsor,minipulser,3,,25000,500,,50,,1,50,8,20,2,10,KINETIC,50,,0.05,0.05,,,0,5,1,15,,1000,,,,,,,"kinetic9, omega, restricted, codex_unlockable",,Desconocido,,Anti escudos,,,,,,,,,,0.5
Repetidora de choque,shockrepeater,3,,20000,300,,50,200,0,100,7,,,,ENERGY,25,,0,0.5,1,,,,,,,10000,,,,,25,PD,"pd14, omega, restricted, codex_unlockable",,Desconocido,,Defensa de punto,,,,Perfecto,Dispara un arco de PEM al objetivo mas cercano a la orientacion actual del arma. El arco siempre impacta.,,,,,19.25
Lanza de fisura,riftlance,3,,30000,600,1000,,,0,20,9,,,,ENERGY,,1000,0.125,0.25,0.5,2,,,,,3200,,,,,,,,"energy11, beam10, omega, restricted, codex_unlockable",,Desconocido,,General,,,,,,,,,,29.1
Lanzador de minas Rift Lance,riftlance_minelayer,0,,,,,500,,25,,,,,,ENERGY,0,,,,1,,,,,,,0,0,20,1000,,,SYSTEM,,,Desconocido,,,,,,,,,,,,38.5
Haz de fisura,riftbeam,3,,100000,600,150,,,0,100,10,,,,ENERGY,,75,0.1,0.1,,,,,,,2400,,,,,,,PD,"beam10, pd15, omega, restricted, codex_unlockable",,Desconocido,,Defensa de punto,,,,,"Crea grietas espacio-temporales a lo largo del rayo, dirigidas a misiles y cazas enemigos cercanos. Cada grieta inflige hasta %s de dano de energia a los objetivos cercanos.",200,,,,21
Lanzador de minas de haz Rift,riftbeam_minelayer,0,,,,,200,,25,,,,,,ENERGY,0,,,,1,,,,,,,0,0,20,1000,,,SYSTEM,,,Desconocido,,,,,,,,,,,,38.5
Crioflamador,cryoflux,3,,100000,400,,100,,3,60,15,90,6,30,ENERGY,50,,,0.05,2,0.05,0,0,0,0,,500,,,,,,,"energy15, SR, omega, restricted, codex_unlockable",,Desconocido,,General,,,,,,,,,,
Crioblaster,cryoblaster,3,,100000,600,,1400,,50,20,16,,,,FRAGMENTATION,500,,0,1,,,0,0,0,0,,750,,,,,,,"energy15, omega, restricted, codex_unlockable",,Desconocido,,General,,,,,,,,,,22.25
Desintegrador,disintegrator,3,,100000,900,,100,,25,20,14,,,,HIGH_EXPLOSIVE,200,,0,2,3,0.2,4,4,,,,700,,,,,,,"he18, omega, restricted, codex_unlockable",,Desconocido,,Antiblindaje,,,,Patron de dispersion,Cada disparo inflige 1000 de dano adicional al blindaje durante 10 segundos. Este dano no se reduce por el blindaje.,1000 | 10,,,,22.25
Emisor Rift Cascade,riftcascade,3,,200000,1000,1000,,,0,7,30,,,,ENERGY,,3000,0.5,1,1,4,,,,,10000,,,,,,,,"energy22, beam17, LR, omega, restricted, codex_unlockable",,Desconocido,,General,,,,,"Crea grietas espacio-temporales al impactar. Se generan mas grietas cuando el rayo se dispara a corta distancia. Cada grieta inflige entre %s y %s de dano de energia a los objetivos cercanos, y las grietas sucesivas infligen mas dano.",750 | 1250,,,,29.1
Lanzador de minas de emision Rift Cascade,riftcascade_minelayer,0,,,,,1000,,25,,,,,,ENERGY,0,,,,1,,,,,,,0,0,20,1000,,,SYSTEM,,,Desconocido,,,,,,,,,,,,38.5
Impulsor de particulas volatiles,vpdriver,3,,200000,1000,,150,,10,20,30,30,3,15,KINETIC,100,,0.05,0.05,1,,0,10,1,10,,1000,,,,,,,"kinetic20, omega, restricted, codex_unlockable",,Desconocido,,Anti escudos,,,,,Los disparos pueden perder cohesion y disolverse. El %s de los disparos alcanza la mitad del alcance maximo y el %s de los disparos alcanza el alcance maximo.,100% | 50%,,,,25
Disruptor de la realidad,realitydisruptor,3,,250000,1000,,25,1500,10,5,30,,,,ENERGY,2000,,1,9,,,,,,,,200,0,100,10000,,,,"energy22, LR, omega, restricted, codex_unlockable",,Desconocido,,Supresion,,,,,El proyectil dispara arcos de PEM a los objetivos enemigos cercanos mientras viaja. El dano mostrado corresponde a los arcos de PEM; el proyectil en si no inflige dano y atravesara las naves. Las reparaciones de armas y motores tardan %s mas durante %s segundos en las naves afectadas.,2{x} | 10,,,TRUE,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanzador SRM de antimateria,amsrm,3,,40000,1200,,1000,,15,50,7,3,0.05,,ENERGY,1000,,0,0.5,1,,0,0,0,0,,1000,200,3,250,,,"DO_NOT_AIM, DO_NOT_CONSERVE","utility8, missile9, strike7, omega, restricted, codex_unlockable",,Desconocido,,Anti naves pequenas,Extremadamente rapido,Excelente,,,,,,,TRUE,10
Lanzador MRM Resonator,resonatormrm,3,,100000,2500,,250,,15,20,16,8,0.4,4,KINETIC,50,,0,1.25,4,0.25,0,0,0,,,400,200,10,250,,,"DO_NOT_AIM, DO_NOT_CONSERVE","missile15, strike11, omega, restricted, codex_unlockable",,Desconocido,,Anti escudos,Rapida,Excelente,,,,,,,,12
Lanzador de torpedos Rift,rifttorpedo,3,,500000,2000,,6000,,75,10,30,1,0.05,,ENERGY,3000,,0,1,1,,0,0,0,0,,200,100,15,3000,,,"STRIKE, DO_NOT_AIM","strike20, missile20, omega, restricted, codex_unlockable",,Desconocido,,Torpedo guiado,Lenta,Excelente,,,,,,,TRUE,12.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Relacionado con la Amenaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanzador de enjambre,swarm_launcher,0,,30000,1,,1,1,0,0,20,30,,,FRAGMENTATION,0,,0.25,1.25,,,0,0,0,0,,1,1,0.1,1,,,"DO_NOT_AIM, NO_MANUAL_FIRE","threat, fragment, restricted, codex_unlockable, no_standard_data, swarm1",,Amenaza,,Especial,,,,,"Requiere el mod de casco %s y utiliza %s fragmentos por cada enjambre lanzado. Puede controlar hasta %s enjambres simultaneamente, pero esperara a lanzar nuevos enjambres hasta que los existentes se agoten.",Enjambre de fragmentos|50|4,Esta arma no puede dispararse manualmente y siempre lanzara enjambres en cuanto sea posible hacerlo.,,,14
Fragmento Seeker,seeker_fragment,0,,3000,2000,,600,,,0,3,1,0.2,,HIGH_EXPLOSIVE,,,0.25,0.75,1,,,,,,,300,0,15,500,,,"IMPORTANT, DO_NOT_AIM, RANGE_FROM_SHIP_RADIUS","threat, fragment, restricted, codex_unlockable, missile1",,Amenaza,,General,Media,Excelente,,,Requiere el mod de casco %s y utiliza %s fragmentos por disparo.,Enjambre de fragmentos|10,,,TRUE,15
Fragmentos cineticos,kinetic_fragments,0,,3000,1500,,400,,,0,4,1,0.2,,KINETIC,0,,0.25,0.25,1,,,,,,,400,0,5,300,,,"IMPORTANT, DO_NOT_CONSERVE, DO_NOT_AIM, RANGE_FROM_SHIP_RADIUS","threat, fragment, restricted, codex_unlockable, kinetic1, rocket1",,Amenaza,,Anti escudos,Rapida,Especial,,,Requiere el mod de casco %s y utiliza %s fragmentos por disparo. Los fragmentos secundarios infligen %s de dano cinetico por impacto.,Enjambre de fragmentos|5|100,,,TRUE,15.1
Fragmento inestable,unstable_fragment,0,,3000,500,,750,,,0,2,1,0.5,,FRAGMENTATION,,,0.25,0.75,1,,,,,,,100,0,5,300,,,"PD, ANTI_FTR, DO_NOT_AIM, RANGE_FROM_TARGETING_OVAL","threat, fragment, restricted, codex_unlockable, pd1, rocket1",,Amenaza,,Anti cazas (area),Muy lento,Especial,,,Requiere el mod de casco %s y utiliza %s fragmento por disparo. Sin guia tras una breve fase inicial de apuntado.,Enjambre de fragmentos|1,,,TRUE,15.25
Enjambre de desfabricacion,devouring_swarm,0,,3000,2500,,200,,,0,3,9,0.2,3,HIGH_EXPLOSIVE,,,0.25,0.75,1,,,,,0,,250,,20,1000,,,"STRIKE, USE_VS_FRIGATES, DO_NOT_AIM, CONSERVE_ALL, CONSERVE_FOR_ANTI_ARMOR, DIRECT_AIM, MISSILE_SPREAD, RANGE_FROM_SHIP_RADIUS, USE_LESS_VS_SHIELDS","threat, fragment, restricted, codex_unlockable, he1",,Amenaza,,Antiblindaje,Media,Excelente,,,Requiere el mod de casco %s y al menos %s fragmentos por disparo. No inflige dano contra escudos.,Enjambre de fragmentos|6|50|sin dano,"Un enjambre de fragmentos ataca al objetivo, atravesando su blindaje y desmantelando el casco una vez expuesto, creando nuevos fragmentos que regresan al enjambre de la nave lanzadora.",,TRUE,15.5
Descarga voltaica,voltaic_discharge,0,,2000,500,,25,50,0,0,5,20,2,20,ENERGY,25,,0,0.2,1,,,,,,,10000,,,,,360,"PD, DO_NOT_AIM, RANGE_FROM_TARGETING_OVAL","threat, fragment, fragment_glow, restricted, codex_unlockable, pd1, energy7",,Amenaza,,Defensa de punto,,,,Perfecto,Requiere el mod de casco %s y al menos %s fragmentos activos. Dispara una rafaga de arcos de PEM a los objetivos cercanos. Los arcos siempre impactan.,Enjambre de fragmentos|10,,,,16
Torpedo de neutrones,neutron_torpedo,0,,4000,1200,,2500,,75,10,3,2,,,KINETIC,0,,0,10,1,,,,,,,300,,6,1000,,,STRIKE,"threat, restricted, codex_unlockable, strike6, rocket2, reload_3pt",,Amenaza,,Torpedo anti escudos,Media,Limitado,,,,,,,TRUE,17
Driver de masa ligero,light_mass_driver,0,,3000,700,,90,,10,30,10,,,,KINETIC,60,,0,0.6,1,,,,,,,900,,,,,,,"threat, restricted, codex_unlockable, kinetic8, LR",,Amenaza,,Anti escudos,,,,,,,,,,17.5
Driver de masa pesado,heavy_mass_driver,0,,6000,800,,200,,40,15,15,,,,KINETIC,140,,0,1,1,,,,,,,900,,,,,,,"threat, restricted, codex_unlockable, kinetic14, LR",,Amenaza,,Anti escudos,,,,,,,,,,18
Neoferric Quadcoil,neoferric_quadcoil,0,,10000,900,,200,,10,30,20,,,,HIGH_EXPLOSIVE,200,,0,4.3,8,0.1,,,,,,900,,,,,,,"threat, restricted, codex_unlockable, he17",,Amenaza,,Antiblindaje,,,,,,,,,,18.5
Canon voltaico,voltaic_cannon,0,,5000,800,,300,500,0,50,3,2,0.01667,1,ENERGY,500,,0.5,0,,,,,,,,300,,,,,,"STRIKE, USE_LESS_VS_SHIELDS","threat, restricted, codex_unlockable, energy7, strike3",,Amenaza,,Supresion,,,,,Los impactos en el casco o el blindaje generan una gran cantidad de arcos de PEM. Los impactos en los escudos tienen la posibilidad de generar arcos de PEM que atraviesen el escudo segun el nivel de flujo duro del objetivo.,,,,,19
Voidblaster,voidblaster,,,7000,700,,300,,0,15,16,12,0.5,4,HIGH_EXPLOSIVE,200,,0,0.25,,,10,10,0,10,,5000,,,,,,,"threat, restricted, codex_unlockable, he12",,Amenaza,,Antiblindaje,,,,,"Inflige %s de dano a los escudos, a pesar de no ser un arma de rayo.",flujo blando,,,,19.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Relacionado con el Habitante Oculto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jet de pseudoparticulas,pseudoparticle_jet,3,,10000,600,,25,,3,40,22,,,,KINETIC,30,,,0.05,6,0.05,0,0,0,0,,400,,,,,,,"monster, dweller, restricted, codex_unlockable, kinetic15, SR, no_drop, substrate_2",,Habitante de la bruma,,Anti escudos,,,,,,,,,,20
Rift hambriento,assaying_rift,3,,10000,2000,,600,,,180,18,,,,ENERGY,600,,0,2,1,,0,0,0,0,,200,400,14,800,,,DO_NOT_AIM,"monster, dweller, restricted, codex_unlockable, pd10, missile10, no_drop, substrate_2",,Habitante de la bruma,,General,Lenta,Excelente,,,"Al impactar en el casco o el blindaje, sana una de las proyecciones del Habitante Oculto en el campo de batalla en 1000 puntos.",1000,"Una propiedad mal comprendida, inherente al espacio-tiempo, impide la formacion de mas de 10 grietas activas en total para todas las armas del campo de batalla. Esta limitacion no se aplica al Habitante Oculto.",10,,20.5
Rift Lightning,rift_lightning,3,,15000,600,,500,1000,0,50,20,,,,ENERGY,500,,0,2,,,,,,,,1000000,,,,,,"PD,PD_ALSO","monster, dweller, restricted, codex_unlockable, pd15, energy19, no_drop, substrate_3",,Habitante de la bruma,,General,,,,Perfecto,Dispara un arco de PEM al objetivo y abre una grieta que inflige dano en un area alrededor del punto de impacto. El arco puede fallar dependiendo de la orientacion exacta del arma y puede atravesar naves aliadas.,,,,,20.75
Lanzador de minas Rift Lightning,rift_lightning_minelayer,0,,,,,500,1000,0,,,,,,ENERGY,0,,,,1,,,,,,,0,0,20,1000,,,SYSTEM,"restricted, no_drop",,Habitante de la bruma,,,,,,,,,,,,21
Resplandor abisal,abyssal_glare,3,,25000,800,500,,1000,0,7,30,,,,ENERGY,,500,0.1,0.1,,,,,,,6000,,,,,,,,"monster, dweller, restricted, codex_unlockable, beam21, no_drop, substrate_5",,Habitante de la bruma,,General,,,,,"Produce explosiones que infligen hasta 100 puntos de dano de energia a todos los objetivos cercanos, incluido el que esta siendo impactado por el rayo.",100 | energia,,,,22
Emanacion inimical,inimical_emanation,3,,5000,500,,100,500,0,120,10,,,,ENERGY,175,,0,1,1,,,,,,,10000,,,,,25,PD,"monster, dweller, restricted, codex_unlockable, pd14, no_drop, substrate_1",,Habitante de la bruma,,Supresion / Defensa de punto,,,,Perfecto,Dispara al objetivo mas cercano a la orientacion actual del arma. Puede fijar objetivos en fase. Siempre impacta y afecta a las armas y motores de las naves. Los impactos en el casco o el blindaje hacen que las reparaciones de armas y motores tarden %s mas durante %s segundos.,2{x} | 5,,,,22.1
Locus turbulento,vortex_launcher,0,,100000,3000,,0,0,0,0,50,2,0.1,,FRAGMENTATION,0,,0,3,,,0,0,0,0,,1,1,0.1,1,,,"DO_NOT_AIM, NO_MANUAL_FIRE","monster, dweller, restricted, codex_unlockable, no_drop, no_standard_data",,Habitante de la bruma,,Especial,,,,,"Lanza un Vortice Oculto, que intentara buscar y golpear a los objetivos cercanos y acabara explotando, infligiendo hasta 2000 puntos de dano de energia en un area.",Vortice Oculto | 2000 | energia,,,,22.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
Haz de interdiccion,interdictorbeam,2,,1000,700,0,,,100,15,5,,,,ENERGY,,100,0.5,1,,,,,,,2400,,,,,,,SYSTEM,,,,,,,,,,,,,,,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
Metralla de capsulas,canister_flak,,,,200,,200,,,,,,0,,HIGH_EXPLOSIVE,0,0,0,0.1,5,0.5,150,150,0,0,,50,200,2,100,,,SYSTEM,,,,,,,,,,,,,,,35.5
Lanzador de bengalas 1,flarelauncher1,,,,400,,10,100,,,,,0,,ENERGY,0,0,0,0.1,10,0.1,60,60,0,0,,150,300,3,1,,,SYSTEM,,,,,,,,,,,,,,,36
Lanzador de bengalas de senuelo,flarelauncher2,,,,200,,10,0,,,,,0,,ENERGY,0,0,0,0.1,3,0.4,30,30,0,0,,200,100,5,500,,,SYSTEM,,,,,,,,,,,,,,,37
Lanzador de bengalas de senuelo (unico),flarelauncher21,,,,200,,10,0,,,,,0,,ENERGY,0,0,0,0.1,1,,30,30,0,0,,200,100,5,500,,,SYSTEM,,,,,,,,,,,,,,,37
Lanzador de bengalas Seeker,flarelauncher3,,,,500,,10,400,,,,,0,,ENERGY,0,0,0,0.1,3,0.1,90,90,0,0,,400,200,7,1,,,SYSTEM,,,,,,,,,,,,,,,38
Lanzador de motes,motelauncher,,,,500,,1,1500,,,,,0,,ENERGY,0,0,0,0.1,1,,30,30,0,0,,400,200,10000,500,,,SYSTEM,,,,,,,,,,,,,,,38.25
Lanzador de motes,motelauncher_hf,,,,500,,300,1500,,,,,0,,ENERGY,0,0,0,0.1,1,,30,30,0,0,,400,200,10000,500,,,SYSTEM,,,,,,,,,,,,,,,38.26
Lanzaminas,minelayer1,0,,200000,1000,,2000,,25,30,12,30,,,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,50,50,20,500,,,SYSTEM,,,,,,,,,,,,,,,38.5
Lanzador de minas pesado,minelayer2,0,,200000,1000,,2000,,25,30,12,30,,,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,50,50,20,500,,,SYSTEM,,,,,,,,,,,,,,,38.7
Lanzador de bombas Orion Device,od_bomblauncher,0,,200000,1000,,500,,25,30,12,30,,,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,50,50,1,10000,,,SYSTEM,,,,,,,,,,,,,,,38.8
Lanzador de bombas Nova Burst,nb_bomblauncher,0,,200000,1000,,500,,25,30,12,30,,,ENERGY,0,,0,3,1,,0,0,0,0,,50,50,1,10000,,,SYSTEM,,,,,,,,,,,,,,,38.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon de pulso termico,tpc,0,,100000,1000,,250,,0,0,,20,1,,ENERGY,150,,0,0.2,1,,0,10,2,5,,1000,,,,,,"SYSTEM,SHOW_IN_CODEX",,TPC_only,,,General,,,,,,,,,,40
Adjudicador pesado,heavy_adjudicator,1,,100000,800,,800,,,0,40,20,0.5,5,FRAGMENTATION,100,,0,0.333333,1,,0,5,3,5,,1200,,,,,3,"SYSTEM,SHOW_IN_CODEX,PD,PD_ALSO",codex_unlockable,H_A_only,Restringido por el Dominio,,Anti blindaje (area),,,,,"Cada proyectil tiene una espoleta de proximidad e inflige dano en un area amplia al explotar.

Fijara misiles si no hay otros objetivos en rango.",,,,,40.5
Conversion de misiles Terminator,terminator_missile,3,,0,1500,,1200,600,200,0,0,1,,,ENERGY,0,,0,1,1,,0,0,0,0,,400,0,10,100000,,,"DIRECT_AIM, SYSTEM",restricted,,,,Misil,Rapida,Medio,,,,,,,TRUE,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
Placa de empuje (tecnologia baja),pusherplate_lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,pusherplate,,,,,,,,,,,,,,42.5
"Placa de empuje (tecnologia baja, pequena)",pusherplate_lt_small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,pusherplate,,,,,,,,,,,,,,42.75
"Placa de empuje (remanente, Nova)",pusherplate_nova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,pusherplate,,,,,,,,,,,,,,42.8
Plato de sensores,sensordish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,43
Plato Lidar,lidardish,0,,1,0,100,,,0,200,0,1000,1000,,ENERGY,,0,0.2,0.2,0.35,0,,,,,1000000,,,,,,,SYSTEM,lidar,,,,Especial,,,,,,,,,,43.5
Laser Nova,novalaser,0,,1,55,1,,,0,200,0,,,,ENERGY,,0,0.1,0.1,,,,,,,1000000,,,,,,,SYSTEM,"nova, fixed_range",,,,Especial,,,,,,,,,,43.75
Blinker rojo,blinker_red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,44
Blinker verde,blinker_green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,45
Lights - Buffalo,lights_buffalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,46
Lights - Hound,lights_hound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
Laser de fijacion - Rojo,targetinglaser1,0,,1,0,1,,,0,200,0,1000,1000,,ENERGY,,0,0.05,0.05,0.1,0.05,,,,,1000000,,,,,,,SYSTEM,,,,,Especial,,,,,,,,,,49
Laser de fijacion - verde,targetinglaser2,0,,1,0,1,,,0,200,0,1000,1000,,ENERGY,,0,0.05,0.05,0.1,0.05,,,,,1000000,,,,,,,SYSTEM,,,,,Especial,,,,,,,,,,50
Laser de fijacion - Doble rojo continuo,targetinglaser3,0,,1,0,100,,,0,200,0,,,,ENERGY,,0,0.05,0.05,,,,,,,1000000,,,,,,,SYSTEM,,,,,Especial,,,,,,,,,,51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63
